[DEBUG] 2020-04-06 12:44:04.294 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-06 12:44:04.302 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-06 12:44:04.309 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-06 12:44:04.390 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-06 12:44:04.393 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-06 12:44:04.581 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-06 12:44:04.582 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-06 12:44:04.587 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-06 12:44:04.807 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-06 12:44:04.819 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-06 12:44:04.819 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-06 12:44:04.828 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-06 12:44:04.847 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6d367020
[DEBUG] 2020-04-06 12:44:04.847 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6d367020
[DEBUG] 2020-04-06 12:44:04.847 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6d367020
[DEBUG] 2020-04-06 12:44:04.848 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@349d0836
[DEBUG] 2020-04-06 12:44:04.848 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2e3a5237
[DEBUG] 2020-04-06 12:44:04.848 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@35c09b94
[DEBUG] 2020-04-06 12:44:04.849 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1136b469
[DEBUG] 2020-04-06 12:44:04.849 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1136b469
[DEBUG] 2020-04-06 12:44:04.849 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1136b469
[DEBUG] 2020-04-06 12:44:04.849 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5432050b
[DEBUG] 2020-04-06 12:44:04.850 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5432050b
[DEBUG] 2020-04-06 12:44:04.850 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5432050b
[DEBUG] 2020-04-06 12:44:04.850 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2c779e5
[DEBUG] 2020-04-06 12:44:04.850 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2c779e5
